source,added,keep,name,search_ddg_tmp,party,gender,dep17,mandates,twitter,description,city,dept,geo,notes,notes_url,flag_collected_31_may_2019,EM_zone,EM_career,id,statuses,followers,created,last_tweeted
Twitter,2015-06,"no, ambiguous identity",Alain BUCHERIE,,DVD,m,,"Conseiller régional, Maire adjoint",alainbucherie,,la rochelle,charente maritime,y,,,FALSE,,,,,,,
eTerritoire,2015-06,yes,Alexandre RASSAERT,,DVD,m,,Maire,alexrassaert,Maire et conseiller départemental de Gisors,gisors,eure,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Anne BOISSEL,,DVD-DLF,f,,"Responsable politique national, Sans mandat électif courant",boissanne,,,,n,VP DLF,,TRUE,,,,,,,
Twitter,2015-06,yes,Anne BOURDU,,DVD,f,,"Maire adjoint, Responsable politique national",annebourdu,Avocat IP NTIC droit économique. Médiateur CMAP. Maire Adjoint Maison Droit & Ecologie Urbaine Colombes 1ere Vice Psdte Parti Libéral Démocrate,colombes,hauts de seine,y,VP PLD,,TRUE,,,,,,,
Twitter,2015-06,yes,Anne-Sophie TASZAREK,,DVD,f,,Conseiller régional,astaszarek,Conseillère Régionale du NPDC. Présidente de l'asso Chiens et Chats en Détresse - Présidente Départementale de la SSVP,,pas de calais,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Antoine CHEREAU,,DVD,m,,"Conseiller régional, Maire, Président de Communauté d'Agglomération",antoine_chereau,"Maire de Montaigu, conseiller régional des Pays de la Loire",montaigu,vendee,y,MPF (WP-FR),,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Arnaud CLEMENT,,DVD,m,,"Conseiller communautaire, Maire adjoint",arnaudclement36,"Maire-Adjoint de Châteauroux, Conseiller Communautaire de l'Agglomération Castelroussine",,,n,,,TRUE,,,91442788,1674,636,2009,21/04/2015
Twitter,2015-06,yes,Arnaud CLEMENT,,DVD,m,,"Conseiller communautaire, Conseiller municipal",arnaudclement36,Enseignant. Gaulliste. Conseiller Municipal de #Châteauroux. Conseiller Communautaire de l'Agglomération Castelroussine.,chateauroux,indre,y,,,TRUE,,,91442788,1674,636,2009,21/04/2015
Twitter,2015-06,yes,Arnaud DASSIER,,DVD,m,,"Responsable politique national, Sans mandat électif courant",arnauddassier,"Entrepreneur internet, business angel, VP du @partiliberal Engagé mais libre. Agent provocateur.",,,n,VP PLD,,TRUE,,,,,,,
Twitter,2015-06,yes,Aurélien VERON,,DVD,m,,"Responsable politique national, Sans mandat électif courant",aurelien_veron,Tête de liste #Régionales2015 #LeGrandPariLibéral en IdF President du @PartiLiberal,,paris,y,P PLD,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Benoît BORDAT,,DVD,m,,"Conseiller communautaire, Conseiller municipal",bordatbenoit,Conseiller Municipal de Dijon,,,n,,,TRUE,,,432344397,5132,1021,2011,21/04/2015
Twitter,2015-06,yes,Benoît BORDAT,,DVD,m,,Conseiller municipal,bordatbenoit,"Conseiller Municipal #Dijon. Amateur de #vins, amoureux des #abeilles Délégué Regional #Cap21 #Lepage #Rebsamen #cmdijon #politique #jesuischarlie #ecologie",dijon,cote d or,y,,,TRUE,,,432344397,5132,1021,2011,21/04/2015
Élus 2.0,2015-06,"no, use updated profile",Christine BOUTIN,,DVD,f,,Conseiller départemental,christineboutin,"Conseillère générale des Yvelines, Chargée de mission auprès du Président de la République 'Justice sociale et mondialisation', Conseillère politique de l'UMP et Présidente du Parti Chrétien-Démocrate",,yvelines,y,,,TRUE,,,90635543,13025,90774,2009,21/04/2015
Twitter,2015-06,yes,Christine BOUTIN,,DVD-PCD,f,,Conseiller départemental,christineboutin,"Conseiller departemental du canton de Rambouillet , Ancien ministre, President d'honneur du PCD (Parti Chrétien Democrate)",rambouillet,yvelines,y,"P (fondatrice) PCD, very close to UMP",,TRUE,,,90635543,13025,90774,2009,21/04/2015
Twitter,2015-06,"no, ambiguous identity",Claude GAUTIER,,DVD,m,,Conseiller départemental,claudegautier44,,,,n,,,FALSE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Corinne LEPAGE,,DVD,f,,Député européen,corinnelepage,Députée européenne et Présidente de CAP21,,,n,,,TRUE,,,31177357,10727,63146,2009,21/04/2015
Twitter,2015-06,yes,Corinne LEPAGE,,DVD,f,,"Responsable politique national, Sans mandat électif courant",corinnelepage,Ancienne Ministre de l'environnement Présidente du Rassemblement Citoyen Députée européenne 2009-2014 Avocate,,,n,,,TRUE,,,31177357,10727,63146,2009,21/04/2015
Élus 2.0,2015-06,"no, use updated profile",Denis BROLIQUIER,,DVD,m,,"Conseiller communautaire, Maire",denisbroliquier,"Maire du 2 ème arrondisssement de Lyon, Conseiller Communautaire du Grand Lyon et Président de Lyon Divers Droite",,,n,,,TRUE,,,216361551,42,423,2010,28/03/2011
Twitter,2015-06,yes,Denis BROLIQUIER,,DVD,m,,"Conseiller communautaire, Maire",denisbroliquier,"Maire du 2 ème arrondissement de LYON depuis 2001, Conseiller Communautaire du Grand Lyon - Groupe Politique (Président) : LYON DIVERS DROITE",lyon,rhone,y,,,TRUE,,,216361551,42,423,2010,28/03/2011
Élus 2.0,2015-06,"no, use updated profile",Dominique DE VILLEPIN,,DVD,m,,"Responsable politique national, Sans mandat électif courant",villepin,Président du Parti 'République Solidaire',,,n,,,TRUE,,,29499020,614,56678,2009,10/01/2015
Twitter,2015-06,yes,Dominique DE VILLEPIN,,DVD,m,,"Responsable politique national, Sans mandat électif courant",villepin,Ancien ministre des Affaires étrangères et Premier ministre de la République Française.,,,n,P (fondateur) RS,,TRUE,,,29499020,614,56678,2009,10/01/2015
Twitter,2015-06,yes,Dominique JAMET,,DVD-DLF,m,,"Responsable politique national, Sans mandat électif courant",dominiquejamet,"Journaliste, écrivain, candidat Debout la République aux élections européennes en Île-de-France.",,paris,y,VP DLF,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Dominique LEMOINE,,DVD,m,,"Conseiller communautaire, Conseiller municipal",lemoinedo,"Conseiller municipal de Tours, Conseiller à l'agglomération de Tours et Porte-parole de CAP21",,,n,,,TRUE,,,210376072,955,421,2010,21/04/2015
Twitter,2015-06,yes,Dominique LEMOINE,,DVD,m,,Sans mandat électif courant,lemoinedo,Ingénieur physicien,,,n,,,TRUE,,,210376072,955,421,2010,21/04/2015
Twitter,2015-06,yes,Eric JURAMY,,DVD,m,,"Responsable politique national, Sans mandat électif courant",ericjuramy,Vice-président trésorier du Parti Libéral Démocrate - mes tweets n'engagent que ceux qui les lisent,,,n,VP + T PLD,,TRUE,,,,,,,
Twitter,2015-06,yes,Franck MARGAIN,,DVD-PCD,m,,"Conseiller municipal, Conseiller régional, Responsable politique national",franckmargain,Conseiller régional UMP. Vice-président du Parti-Chrétien Démocrate. @le_pcd Conseiller d'opposition dans le XIIème arrondissement de Paris,paris,paris,y,"VP PCD, UMP office-holder",,TRUE,,,,,,,
Twitter,2015-06,yes,Henri PAILLEUX,,DVD,m,,Maire,henripailleux,"Henri Pailleux, maire de Coignières, ancien vice président du conseil général des Yvelines",coignieres,yvelines,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Hervé BALLE,,DVD,m,,"Responsable politique national, Sans mandat électif courant",herveballe,Président de l'association de quartier Vincennes-Est.Candidat aux élections départementales de Mars 2015. Conseiller en insertion professionnelle à Pôle Emploi.,vincennes,val de marne,y,T CAP21-LRC (does not state it on his profile),,TRUE,,,,,,,
Twitter,2015-06,yes,Jacques KRABAL,,DVD,m,,"Député, Maire",jkrabal,"Député de l'Aisne, maire de Château-Thierry, Com dév durable, et aménagement du territoire - Pdt Groupe d'Etudes Papier et imprimés Parti Radical de Gauche",chateau thierry,aisne,y,quit PRG to join CAP21-LRC in late 2014,,TRUE,,,1946847096,1800,940,2013,17/04/2015
Twitter,2015-06,yes,Jean RAPENNE,,DVD,m,,"Responsable politique national, Sans mandat électif courant",jrapenne,CAP21 Le Rassemblement Citoyen - Secrétaire Général,,,n,SG CAP21-LRC,,TRUE,,,,,,,
Twitter,2015-06,yes,Jean-Bernard MOREL,,DVD,m,,Maire adjoint,jbernardmorel,Directeur d'Agence Caisse d'Epargne Bretagne Pays de Loire - Maire Adjoint CHANGE (53) - Environnement et Développement durable.,change,mayenne,y,"unsure about party affiliation, might be UDI.",,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Jean-Frédéric POISSON,,DVD,m,,"Député, Maire adjoint, Président de Communauté d'Agglomération",jfpoisson78,"Député de la 10e circonscription des Yvelines, Premier adjoint au maire de Rambouillet (chargé de l’urbanisme, des ressources humaines et de la démarche qualité), Président de la Communauté de Communes Plaines et Forêt d’Yveline et Conseiller national UMP",,,n,,,TRUE,,,578114675,2509,7546,2012,17/04/2015
Twitter,2015-06,yes,Jean-Frédéric POISSON,,DVD-PCD,m,,"Député, Maire adjoint, Président de Communauté d'Agglomération",jfpoisson78,Député PCD-UMP des Yvelines. Président du Parti-Chrétien Démocrate. Vice-président de la Commission des Lois à l'Assemblée nationale.,,yvelines,y,P PCD,,TRUE,,,578114675,2509,7546,2012,17/04/2015
Twitter,2015-06,"no, ambiguous identity",Jean-Luc TOULY,,DVD,m,,Conseiller régional,jltouly,,,essonne,y,,,FALSE,,,,,,,
Twitter,2015-06,yes,Jean-Pierre ENJALBERT,,DVD,m,,"Conseiller départemental, Maire, Responsable politique national",jp_enjalbert,"Maire de St-Prix, Conseiller Général du Val d'Oise, Vice Président de DLR, Médecin Angiologue, Auteur de : La Malbouffe libre et non faussee",,val d oise,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Jean-Pierre GRAND,,DVD,m,,"Maire, Responsable politique national, Sénateur",jeanpierregrand,Sénateur - Maire de Castelnau-le-Lez,castelnau le lez,herault,y,P RS,,TRUE,,,186799138,808,1387,2010,17/04/2015
Élus 2.0,2015-06,"no, use updated profile",Jelle LEMAITRE,,DVD,m,,Conseiller municipal,jellelemaitre,Conseiller municipal de Questembert,,,n,,,TRUE,,,146984545,1220,691,2010,13/04/2015
Twitter,2015-06,yes,Jelle LEMAITRE,,DVD,m,,Sans mandat électif courant,jellelemaitre,Directeur de la communication du diocèse de Rennes - Docteur en droit public - Chargé d'enseignement à l'IEP de Rennes et à l'Université de Rennes 1,rennes,ille et vilaine,y,,,TRUE,,,146984545,1220,691,2010,13/04/2015
Twitter,2015-06,"no, left politics",Louis-Marie BACHELOT,https://duckduckgo.com/?q=Louis-Marie+BACHELOT+twitter,DVD,m,,"Responsable politique national, Sans mandat électif courant",louismbachelot,Consultant et entrepreneur en biotechnologies santé. Secrétaire Général @partiliberal @UDI_off49 #Angers #circo4901,angers,maine et loire,y,SG PLD,,FALSE,,,,,,,
Twitter,2015-06,"no, ambiguous identity",Marie-Thérèse BESSON,,DVD,f,,Conseiller régional,bessonthrse,,,yvelines,y,,,FALSE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Nicolas DUPONT-AIGNAN,,DVD,m,,"Député, Maire",dupontaignan,Député et Président du parti 'Debout la République',,,n,,,TRUE,,,38170599,5469,65380,2009,17/04/2015
Twitter,2015-06,yes,Nicolas DUPONT-AIGNAN,,DVD,m,,"Député, Maire, Président de Communauté d'Agglomération, Responsable politique national",dupontaignan,Député de l'Essonne et président de Debout La France http://t.co/2MxXRpHodM,,essonne,y,P DLF,,TRUE,,,38170599,5469,65380,2009,17/04/2015
Twitter,2015-06,yes,Patrick MIGNON,,DVD,m,,"Responsable politique national, Sans mandat électif courant",pamignon,Vice-Président de Debout La France - Toujours supporteur de l'Aviron Bayonnais Rugby Pro - Commandant de Bord Air France,bayonne,pyrenees atlantiques,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Philippe DE VILLIERS,,DVD,m,,"Responsable politique national, Sans mandat électif courant",phdevilliers,"Fondateur du @PuyduFou, Président du MPF, Écrivain, Ancien Ministre, Ancien député européen,. Ancien Président du CG de Vendée Compte officiel",,vendee,y,P MPF,,TRUE,,,1949069192,296,6996,2013,26/03/2015
Twitter,2015-06,yes,Rémy REBEYROTTE,,DVD,m,,"Conseiller départemental, Maire, Président de Communauté d'Agglomération",rrebeyrotte,Maire d'Autun - Président de la Communauté de Communes du Grand Autunois-Morvan. @AutunVille @CCGAM71,autun,saone et loire,y,listed as ex-PS and CAP21-LRC (WP-FR),,TRUE,,,,,,,
eTerritoire,2015-06,yes,Richard GALY,,DVD,m,,Maire,richardgaly,Maire de #Mougins. Conseiller regional PACA. 1er vice-president des Pays de Lérins.,mougins,alpes maritimes,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Rodolphe ALEXANDRE,,DVD,m,,Président de Conseil Régional,rphealexandre,Docteur en histoire. Président de la @RegionGuyane. Président de @Guyane73.,,DOM TOM-GUYANE,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Thibault COULON,,DVD,m,,Conseiller régional,thibaultcoulon,Conseiller régional de Tours (région Centre).,tours,indre et loire,y,,,TRUE,,,391453555,188,463,2011,14/11/2013
